course_code,course_number,course_type,course_url,credit_hours,department,department_name,description,distribution_group,grade_mode,language,long_title,prerequisites,restrictions,title
ELEC 263,263,Laboratory,,1,ELEC,Electrical & Computer Eng.,"This is a 1-credit lab course that covers the fundamental physics of electronic devices. Topics include: physics of semiconductor devices including diodes, transistors and solar cells; Maxwell's equations, transmission lines, and antenna radiation.  Students will complete about 4-5 lab measurements over the course of the semester. The course will include some short talks on current research by Rice faculty. Groups of students will prepare a short video presentation on current topics.",,Standard Letter,Taught in English,INTRODUCTION TO PHYSICAL ELECTRONICS LAB,ELEC 261 AND MATH 212,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,INTRO TO PHYS ELECTRONICS LAB
ELEC 301,301,Lecture,,3,ELEC,Electrical & Computer Eng.,"Analytical framework for analyzing signals and systems.  Time and frequency domain analysis of continuous and discrete time signals and systems, convolution, and the Laplace and Z transforms. Introduction to algorithms for machine learning on signals, including clustering, regression, and classification. Instructor Permission Required.",,Standard Letter,Taught in English,"SIGNALS, SYSTEMS, AND LEARNING",ELEC 241 AND (MATH 354 OR MATH 355 OR CAAM 334 OR CAAM 335 OR CMOR 302 OR CMOR 303),Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,"SIGNALS, SYSTEMS, AND LEARNING"
ELEC 303,303,Lecture,,3,ELEC,Electrical & Computer Eng.,"An introduction to probability theory and statistics with applications to electrical engineering problems in signal processing, communications and control; probability spaces, conditional probability, independence, random variables, distribution and density functions, random vectors, signal detection and parameter estimation. Instructor Permission Required.",,Standard Letter,Taught in English,RANDOM SIGNALS IN ELECTRICAL ENGINEERING SYSTEMS,,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,RANDOM SIGNALS
ELEC 305,305,Lecture/Laboratory,,3,ELEC,Electrical & Computer Eng.,"Physical principles and practical applications of devices used in modern electronic systems, with an emphasis on transistors, integrated circuits, electromagnetic propagation, and transmission lines.",,Standard Letter,Taught in English,INTRODUCTION TO PHYSICAL ELECTRONICS II,ELEC 261 AND (MATH 212 OR MATH 222),Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,INTRO PHYSICAL ELECTRONICS II
ELEC 323,323,Lecture/Laboratory,,4,ELEC,Electrical & Computer Eng.,"Fundamentals of parallel programming: abstract models of parallel computers, parallel algorithms and data structures, and common parallel programming patterns including task parallelism, undirected and directed synchronization, data parallelism, divide-and-conquer parallelism, and map-reduce. Laboratory assignments will explore these topics through the use of parallel extensions to the Java language. Cross-list: COMP 322.",,Standard Letter,Taught in English,PRINCIPLES OF PARALLEL PROGRAMMING,COMP 215,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,FUNDAMENTALS OF PARALLEL PROG
ELEC 326,326,Lecture/Laboratory,,3,ELEC,Electrical & Computer Eng.,"Study of gates, flip-flops, combinational and sequential switching circuits, registers, logical and arithmetic operations, introduction to the Verilog hardware description language. Cross-list: COMP 326.",,Standard Letter,Taught in English,DIGITAL LOGIC DESIGN,ELEC 220 OR COMP 222,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,DIGITAL LOGIC DESIGN
ELEC 327,327,Lecture,,3,ELEC,Electrical & Computer Eng.,"Embedded microsystems are widely employed to provide intelligence to sensors and actuators throughout our daily life. In this course, we learn the software and hardware frameworks which underly embedded systems design. Students will learn the fundamentals of embedded system programming and feel competent to design, build, and manufacture their own embedded devices. In particular, we focus on principles of low-power design and interface with external peripherals. In addition, students will learn how to design their own manufacturable hardware and discover how application-specific blocks enable modern commercial devices to function. There are weekly lab assignments and two projects. Instructor Permission Required.",,Standard Letter,Taught in English,IMPLEMENTATION OF DIGITAL SYSTEMS,ELEC 326 OR COMP 326,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,IMPLEMENTATION OF DIGITAL SYS
ELEC 361,361,Lecture,,3,ELEC,Electrical & Computer Eng.,"This course provides the background in quantum mechanics and solid state physics necessary for further studies in semiconductor optoelectronic devices, quantum electronics, nanoscience, and photonics. Examples include: electronic energy levels in semiconductor quantum wells and superlattices; tunneling phenomena in semiconductor devices; the Kronig-Penney model; crystal momentum, effective mass, and Bloch oscillations; band structure of graphene and carbon nanotubes; and introduction to quantum information science.",,Standard Letter,Taught in English,QUANTUM MECHANICS FOR ENGINEERS,ELEC 261,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,QUANTUM MECHANICS FOR ENGINEER
ELEC 364,364,Lecture,,3,ELEC,Electrical & Computer Eng.,"After completing this course, students will have the knowledge and experimental skills to design and apply a photonic measurement system to monitor an environment, process, device, or system. The course will combine predefined labs to develop skills with application projects. Instructor Permission Required.",,Standard Letter,Taught in English,PHOTONICS MEASUREMENTS: PRINCIPLES AND PRACTICE,ELEC 262 OR PHYS 201,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,PHOTONICS MEASUREMENTS
ELEC 378,378,Lecture,,3,ELEC,Electrical & Computer Eng.,"This course deals with machine learning, from its theoretical mathematical foundations to practical implementation in computer algorithms for data science applications. The course follows a deterministic rather than probabilistic approach to focus on the key concepts; linear algebra plays a starring role.",,Standard Letter,Taught in English,MACHINE LEARNING: CONCEPTS AND TECHNIQUES,MATH 355 OR MATH 354 OR CAAM 335 OR CMOR 302 OR CAAM 334 OR CMOR 303,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,MACHINE LEARNING CONCEPTS
ELEC 380,380,Lecture,,3,ELEC,Electrical & Computer Eng.,"This course will serve as an introduction to quantitative modeling of neural activity and the methods used to stimulate and record brain activity. Cross-list: BIOE 380, NEUR 383, Graduate/Undergraduate Equivalency: ELEC 587. Mutually Exclusive: Cannot register for ELEC 380 if student has credit for ELEC 587.",,Standard Letter,Taught in English,INTRODUCTION TO NEUROENGINEERING: MEASURING AND MANIPULATING NEURAL ACTIVITY,(PHYS 101 OR PHYS 111 OR PHYS 125 OR PHYS 141) AND (PHYS 102 OR PHYS 112 OR PHYS 126 OR PHYS 142) AND (COMP 140 OR CAAM 210 OR CMOR 220),Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,INTRO TO NEUROENGINEERING
ELEC 383,383,Lecture,,3,ELEC,Electrical & Computer Eng.,"This course is designed to provide students with the tools to understand the basic parts of a wearable biosensor, including the biorecognition layer, transducer, signal output, the requirements for a wearable device, and the biofluids potential and limitations including discussion about biosensors for sweat, saliva, tears, interstitial fluid, urine, blood etc.",,Standard Letter,Taught in English,WEARABLE BIOSENSORS,,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,WEARABLE BIOSENSORS
ELEC 384,384,Lecture,,3,ELEC,Electrical & Computer Eng.,"Biomedical signals representing physiological processes help advance scientific understanding of the human body as well as enable translational/therapeutic applications. This course will introduce signal processing and machine learning methods for analyzing biomedical time series. First, students will gain an understanding of how common biological signals such as neural activity and muscle activity are generated and the typical issues with recording them (signal dispersion, recording instabilities, data scarcity, individual variability, etc). Second, they will learn commonly used statistical methods used to extract useful information from these biomedical signals. Methods will span spectral analysis, unsupervised discovery & latent variable models to identify structure in data and supervised methods to decode task-relevant information. While we focus on neurophysiological signal processing applications, the concepts are broadly applicable.  Recommended Prerequisite(s): ELEC 303 Random Signals, probability or equivalent, ELEC 378 Fundamentals of Machine Learning, or equivalent, and ELEC 242 Signals, Systems and Transforms",,Standard Letter,Taught in English,MACHINE LEARNING OF BIOMEDICAL TIME SERIES,,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,ML OF BIOMEDICAL TIME SERIES
ELEC 395,395,Transfer,,1 TO 4,ELEC,Electrical & Computer Eng.,This course is intended for transfer credit for courses not offered at Rice. Permission of ECE Undergraduate Committee and review by faculty in related specialization area is required. ELEC 395 is for Junior level ECE Specialization course credit. Department Permission Required. Repeatable for Credit.,,Transfer Courses,Taught in English,TRANSFER CREDIT - JUNIOR,,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,TRANSFER CREDIT - JUNIOR
ELEC 406,406,Lecture,,3,ELEC,Electrical & Computer Eng.,"Algorithmic procedures for working with data have been developed by re-searchers from a wide range of areas. These include theoretical computer science (TCS), numerical linear algebra (NLA), statistics, applied mathematics, data analysis, machine learning, etc. As a consequence of the multi-disciplinarity of the area, researchers often fail to appreciate the underlying connections and the significance of contributions developed outside their own area.

In this course, rather than focusing on technical details, we will focus on highlighting for a broad, basic linear-algebra-savvy audience, the simplicity and generality of some core linear algebraic ideas. In particular, we will focus on two fundamental and much used matrix problems which have been at the center of recent developments: (1) Least Squares approximation and (2) Low-Rank Matrix Approximation. A key tool for achieving this goal are randomized algorithms which originated in TCS. Graduate/Undergraduate Equivalency: ELEC 506.",,Standard Letter,Taught in English,LINEAR ALGEBRA FOR DATA SCIENCE,,,LINEAR ALGEBRA FOR DS
ELEC 410,410,Lecture,,3,ELEC,Electrical & Computer Eng.,"What is “cloud computing?” How do we build cloud-scale systems and components that are secure against malicious attacks, and scale to millions of users? Many of today’s services run inside the cloud – a set of geographically distributed data centers running heterogeneous software stacks. Cloud systems must scale across tens of thousands of machines, support millions of concurrent requests, and they must do so with high security guarantees. This course will start with the fundamentals of cloud computing, introduce key techniques in building scalable and secure systems and expose students to state-of-the-art research advances as well as emerging security threats and defenses in today’s cloud systems. Cross-list: COMP 436, Graduate/Undergraduate Equivalency: ELEC 510. Mutually Exclusive: Cannot register for ELEC 410 if student has credit for ELEC 510.",,Standard Letter,Taught in English,SECURE AND CLOUD COMPUTING,COMP 321,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,SECURE & CLOUD COMPUTING
ELEC 411,411,Lecture,,3,ELEC,Electrical & Computer Eng.,"Topics covered include transmission line, Smith Chart, scattering parameters, impedance matching, passive microwave circuits (power divider, coupler, 180° hybrid, filter), and antenna design fundamentals. Graduate/Undergraduate Equivalency: ELEC 517. Recommended Prerequisite(s):  ELEC 262 or ELEC 305 or equivalent courses with the key concepts of Maxwell’s Equations and Linear Algebra Mutually Exclusive: Cannot register for ELEC 411 if student has credit for ELEC 517.",,Standard Letter,Taught in English,MICROWAVE ENGINEERING,,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,MICROWAVE ENGINEERING
ELEC 414,414,Lecture,,3,ELEC,Electrical & Computer Eng.,"Topics covered include system architectures for modern wireless transceivers and transistor-level design considerations for circuit building blocks (low noise amplifier, mixer, power amplifier, etc.) in a wireless transceiver. Graduate/Undergraduate Equivalency: ELEC 514. Recommended Prerequisite(s): Equivalent Courses with the Key Concepts: • Transistor-level CMOS analog circuits (basic configurations, small-signal models, parasitic effects) • Frequency response of transistor-level CMOS circuits (pole/zero calculations) • Frequency response of simple passive networks (1st order and 2nd order RLC networks)• Noise analysis of transistor-level CMOS circuits (noise sources in CMOS transistors, input-referred voltage/current noise for CMOS transistor-level circuits)",,Standard Letter,Taught in English,WIRELESS INTEGRATED CIRCUITS AND SYSTEMS,ELEC 305,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,WIRELESS IC
ELEC 418,418,Lecture,,3,ELEC,Electrical & Computer Eng.,"This course covers the principles of optical photon transport in biological tissue. Topics include a brief introduction to biomedical optics, single-scatterer theories, Monte Carlo modeling of photon transport, convolution for broad-beam responses,  ultrasonic waves, ultrasound in fluids and solids, the principles of wave-tissue interaction, and ultrasound sensing devices and acoustic fields. Graduate/Undergraduate Equivalency: ELEC 518. Recommended Prerequisite(s): Knowledge and understanding of differential equations Mutually Exclusive: Cannot register for ELEC 418 if student has credit for ELEC 518.",,Standard Letter,Taught in English,PRINCIPLES OF BIOMEDICAL OPTICS AND ULTRASOUND,,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,BIOMEDICAL OPTICS & ULTRASOUND
ELEC 421,421,Lecture/Laboratory,http://www.clear.rice.edu/comp421/,4,ELEC,Electrical & Computer Eng.,"Introduction to the design, construction, and analysis of concurrent programs with an emphasis on operating systems, including filing systems, schedulers, and memory allocators. Specific attention is devoted to process synchronization and communication within concurrent programs. Cross-list: COMP 421, Graduate/Undergraduate Equivalency: ELEC 552. Mutually Exclusive: Cannot register for ELEC 421 if student has credit for ELEC 552.",,Standard Letter,Taught in English,OPERATING SYSTEMS AND CONCURRENT PROGRAMMING,COMP 215 AND COMP 321,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,OP SYS/CONCURRENT PROGRAMMING
ELEC 422,422,Lecture,,3,ELEC,Electrical & Computer Eng.,"A study of VLSI technology and design. MOS devices, Characteristics and fabrication. Logic design and implementation. VLSI design methodology, circuit simulation and verification. Graduate/Undergraduate Equivalency: ELEC 527. Mutually Exclusive: Cannot register for ELEC 422 if student has credit for ELEC 527.",,Standard Letter,Taught in English,VLSI SYSTEMS DESIGN,ELEC 326 OR COMP 326,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,VLSI SYSTEMS DESIGN
ELEC 423,423,Lecture,,3,ELEC,Electrical & Computer Eng.,"This course introduces students to the analysis and design of digital integrated circuits. We look at how CMOS devices are fabricated and how they operate physically, as well as how to design high-performance and low-power circuits. Various types of memory devices and designs are also covered in the course.  Recommended Prerequisite(s): ELEC 305 or ELEC 261.",,Standard Letter,Taught in English,DIGITAL INTEGRATED CIRCUITS,ELEC 220 AND ELEC 242 AND (ELEC 326 OR COMP 326),Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,DIGITAL INTEGRATED CIRCUITS
ELEC 424,424,Lecture/Laboratory,,4,ELEC,Electrical & Computer Eng.,"ELEC 424 introduces mobile and embedded system design and applications to undergraduate students and provides them hands-on design experience. It consists of three interlearning parts: lectures, student project, and student presentations. Cross-list: COMP 424, Graduate/Undergraduate Equivalency: ELEC 553. Mutually Exclusive: Cannot register for ELEC 424 if student has credit for ELEC 553.",,Standard Letter,Taught in English,MOBILE AND EMBEDDED SYSTEM DESIGN AND APPLICATION,ELEC 220 OR COMP 222,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,MOBILE & EMBEDDED SYSTEM
ELEC 425,425,Lecture/Laboratory,,4,ELEC,Electrical & Computer Eng.,"Evolution of key architecture concepts found in advanced uniprocessor systems. Fundamental and advanced pipelining techniques and associated issues for improving processor performance. Illustrated with RISC processors such as the ARM processor. Examine several metrics for processor performance, such as Amdahl’s law. Key concepts of data and program memory systems found in modern systems with memory hierarchies and cashes. Perform experiments in cache performance analysis. Influence of technology trends, such as Moore’s law, on processor implementation Approaches for exploiting instruction level parallelism, such as VLIW. Introduction to parallel and multicore architectures. Introduction to processor architectures targeted for imbedded applications. Cross-list: COMP 425, Graduate/Undergraduate Equivalency: ELEC 554.  Mutually Exclusive: Cannot register for ELEC 425 if student has credit for ELEC 554.",,Standard Letter,Taught in English,COMPUTER SYSTEMS ARCHITECTURE,ELEC 326 OR COMP 326,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,COMPUTER SYSTEMS ARCHITECTURE
ELEC 426,426,Lecture,,3,ELEC,Electrical & Computer Eng.,"The course addresses advanced issues in custom digital IC design. Topics range from physical-level analysis and modeling of new devices, interconnect, and power supply, to circuit-level design techniques for low power and high performance, to application-oriented digital circuits/systems for security and machine learning. Graduate/Undergraduate Equivalency: ELEC 521. Recommended Prerequisite(s): ELEC 342, 422 and 423.",,Standard Letter,Taught in English,ADVANCED DIGITAL INTEGRATED CIRCUITS DESIGN,ELEC 305 AND (ELEC 326 OR COMP 326),Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,ADV DIGITAL IC DESIGN
ELEC 429,429,Lecture,http://www.clear.rice.edu/comp429/,4,ELEC,Electrical & Computer Eng.,"Network architectures, algorithms, and protocols. Local- and Wide-area networking. Intra- and inter-domain routing. Transmission reliability. Flow and congestion control. TCP/IP. Multicast. Quality of Service. Network Security - Networked applications. Cross-list: COMP 429, Graduate/Undergraduate Equivalency: ELEC 556. Mutually Exclusive: Cannot register for ELEC 429 if student has credit for ELEC 556.",,Standard Letter,Taught in English,INTRODUCTION TO COMPUTER NETWORKS,COMP 321,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,INTRO TO COMPUTER NETWORKS
ELEC 430,430,Lecture,,3,ELEC,Electrical & Computer Eng.,"This is an upper-level course in digital communications, which is designed to prepare students for engineering work in high-tech industries and for graduate work in communications, signal processing, and computer systems. The course covers basic concepts and useful tools for design and performance analysis of transmitters and receivers in the physical layer of a communication system, including multiple antenna MIMO systems. A hands-on laboratory using a state-of-the-art radio testbed illustrates course concepts. Mutually Exclusive: Cannot register for ELEC 430 if student has credit for ELEC 551. Graduate/Undergraduate Equivalency: ELEC 551. Mutually Exclusive: Cannot register for ELEC 430 if student has credit for ELEC 551.",,Standard Letter,Taught in English,MODERN COMMUNICATION THEORY AND PRACTICE,(ELEC 242 OR ELEC 301) AND ELEC 303,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,MODERN COMM. THEORY & PRACTICE
ELEC 431,431,Lecture,,3,ELEC,Electrical & Computer Eng.,"Methods for analysis of discrete-time signals and design of discrete-time systems including topics of: discrete-time linear systems, difference equations, z-transforms, discrete convolution, stability, discrete-time Fourier transforms, analog-to-digital and digital-to-analog conversion, digital filter design, discrete Fourier transforms, fast Fourier transforms, multi-rate signal processing, filter banks, and spectral analysis. Graduate/Undergraduate Equivalency: ELEC 558. Mutually Exclusive: Cannot register for ELEC 431 if student has credit for ELEC 558.",,Standard Letter,Taught in English,DIGITAL SIGNAL PROCESSING,ELEC 242 OR ELEC 301,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,DIGITAL SIGNAL PROCESSING
ELEC 434,434,Lecture,,3,ELEC,Electrical & Computer Eng.,"This course covers practical aspects of high-speed system design, highlights system design and simulation challenges, and demonstrates common pitfalls and how to prevent them.  In this course, students will learn how to design, do gigahertz speed PCB layout, simulate (spice and Hyperlynx), and apply good design practices to minimize both component and system noise and to ensure system design success. Graduate/Undergraduate Equivalency: ELEC 543.  Mutually Exclusive: Cannot register for ELEC 434 if student has credit for ELEC 543.",,Standard Letter,Taught in English,ADVANCED HIGH-SPEED SYSTEM DESIGN,ELEC 305 AND ELEC 244,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,ADV H-S SYSTEM DESIGN
ELEC 435,435,Lecture/Laboratory,,3,ELEC,Electrical & Computer Eng.,"This course is designed to provide students with hands-on experience with the techniques and tools of neural engineering towards health, rehabilitation, and assistive technology applications. During the course, students will develop a deeper understanding of the underlying principles and phenomena of engineered systems interacting with the nervous system. The course will also expose students to hardware, software, and techniques that may be useful in their future coursework and careers. Students will work individually and in teams through a series of experiments. Students will also learn and use key concepts in designing experiments and testing neural interface systems, which they will use to propose and conduct a final project of their own design. Graduate/Undergraduate Equivalency: ELEC 532. Recommended Prerequisite(s): ELEC 380 Mutually Exclusive: Cannot register for ELEC 435 if student has credit for ELEC 532.",,Standard Letter,Taught in English,NEURAL INTERFACE ENGINEERING LABORATORY,COMP 140 OR BIOE 391,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,NEURAL INTERFACE  ENG LAB
ELEC 436,436,Lecture,,3,ELEC,Electrical & Computer Eng.,"Linear systems and the fundamental principles of classical feedback control, state variable analysis of linear dynamic systems, stability of linear control systems, time-domain analysis and control of linear systems, root-locus analysis and design and pole-zero synthesis, frequency domain techniques for the analysis and design of control systems. Required for mechanical engineering majors in B.S. program. Cross-list: MECH 420.",,Standard Letter,Taught in English,FUNDAMENTALS OF CONTROL SYSTEMS,(CAAM 335 OR CMOR 302 AND MECH 343 OR MECH 499) OR (MATH 355 AND MECH 343 OR MECH 499) OR (CAAM 335 OR CMOR 302 AND ELEC 242 AND ELEC 244) OR (MATH 355 AND ELEC 242 AND ELEC 244),Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,FUNDAMENTALS OF CONTROL SYST
ELEC 437,437,Lecture,,3,ELEC,Electrical & Computer Eng.,"Introduction to design and analysis of communication networks. Topics include wireless networks, media access, routing traffic modeling, congestion control, and scheduling. Graduate/Undergraduate Equivalency: ELEC 539.  Mutually Exclusive: Cannot register for ELEC 437 if student has credit for ELEC 539.",,Standard Letter,Taught in English,INTRODUCTION TO COMMUNICATION NETWORKS,ELEC 303,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,INTRO TO COMMUNICATION NETWORK
ELEC 438,438,Lecture,,3,ELEC,Electrical & Computer Eng.,"This course first covers established optical imaging technologies and their biomedical applications. Topics include sensing optical properties and spectroscopy, ballistic imaging methods (confocal, two-photon, super-resolution, etc.), optical coherence tomography, diffuse optical tomography, photoacoustic tomography, and optical time reversal (wavefront shaping/engineering). Graduate/Undergraduate Equivalency: ELEC 530. Mutually Exclusive: Cannot register for ELEC 438 if student has credit for ELEC 530.",,Standard Letter,Taught in English,BIOMEDICAL OPTICAL IMAGING AND APPLICATIONS,PHYS 102 OR PHYS 112 OR PHYS 126,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,BIOMEDICAL OPTICAL IMAG & APPL
