course_code,course_number,course_type,course_url,credit_hours,department,department_name,description,distribution_group,grade_mode,language,long_title,prerequisites,restrictions,title
COMP 238,238,"Independent Study, Internship/Practicum, Laboratory, Lecture, Seminar",,1 TO 4,COMP,Computer Science,Topics and credit hours vary each semester. Contact department for current semester's topic(s).  Repeatable for Credit.,,Standard Letter,Taught in English,SPECIAL TOPICS,,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,SPECIAL TOPICS
COMP 282,282,Lecture,,3,COMP,Computer Science,"This course provides the mathematical and computational foundations necessary for understanding mod-ern AI/ML systems, with a focus on optimization and computational perspectives. The course interweaves three main threads: (1) computational linear algebra through the lens of optimization problems, (2) multi-variate calculus and optimization concepts essential for understanding learning algorithms, and (3) practical implementation using Python’s scientific computing ecosystem. Students will learn to implement and analyze fundamental algorithms for machine learning, developing both theoretical understanding and practical coding skills. The course emphasizes computational efficiency, algorithm implementation, and the connections between mathematical theory and practical AI applications. This class is intended to prepare students for upper-level AI classes.",,Standard Letter,Taught in English,COMPUTATIONAL OPTIMIZATION FOR AI,MATH 102 AND COMP 182 AND MATH 355,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,COMPUTATIONAL OPTIMIZ. FOR AI
COMP 290,290,Research,,1 TO 3,COMP,Computer Science,Theoretical and experimental investigations under staff direction. Instructor Permission Required. Repeatable for Credit.,,Standard Letter,Taught in English,COMPUTER SCIENCE PROJECTS,,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,COMPUTER SCIENCE PROJECTS
COMP 301,301,Lecture,,3,COMP,Computer Science,"Given their growing power in the twenty-first century, computer scientists have duties both to society and their own profession to wield that power wisely and responsibly. In this discussion-and reflection-oriented course students will apply fundamentals of moral philosophy and social responsibility to current issues in computer science. Graduate/Undergraduate Equivalency: COMP 510. Mutually Exclusive: Cannot register for COMP 301 if student has credit for COMP 510.",,Standard Letter,Taught in English,COMPUTER ETHICS,,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduateMust be enrolled in one of the following Major(s): Computer Science,COMPUTER ETHICS
COMP 310,310,Lecture,http://www.clear.rice.edu/comp310,4,COMP,Computer Science,Discover how state-of-the-art object-orient programming and design techniques can create globe-spanning software systems that are both flexible and scalable. Learn how software design patterns are used in multiple programming paradigms. Explore highly decoupled systems with dynamically configurable behaviors. Highly recommended for anyone interested in building large systems and software engineering.  Mutually Exclusive: Cannot register for COMP 310 if student has credit for COMP 318/COMP 404/COMP 504.,,Standard Letter,Taught in English,ADVANCED OBJECT - ORIENTED PROGRAMMING AND DESIGN,COMP 215,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,ADV OBJECT-ORIENTED PROG
COMP 311,311,Lecture,http://wiki.rice.edu/confluence/display/PARPROG/COMP311,4,COMP,Computer Science,"An introduction to concepts, principles, and approaches of functional programming. Functional programming is a style of programming where the key means of computation is the application of functions to arguments (which themselves might be functions). This style of programming has become increasingly popular in recent years because it offers important advantages in designing, maintaining, and reasoning about programs in many modern contexts such as web services, multicore programming, and cluster computing. Course work consists of a series of programming assignments in the Scala programming language and various library extensions such as Apache Spark. Graduate/Undergraduate Equivalency: COMP 544. Mutually Exclusive: Cannot register for COMP 311 if student has credit for COMP 544.",,Standard Letter,Taught in English,FUNCTIONAL PROGRAMMING,COMP 215,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,FUNCTIONAL PROGRAMMING
COMP 312,312,Lecture,,3,COMP,Computer Science,"This course explores the design landscape of programming languages and compilers, with the primary goal of giving students skills and knowledge that will help them as practitioners. After completing the course, students should be able to evaluate the tradeoffs between different programming languages, choose the language that is best-suited to a given task, write code using the functional programming paradigm, and learn new languages more quickly. Specific topics covered include lexical and syntactic analysis, type systems, variable scopes and bindings, control flow structures, and functional programming. Case studies from modern programming languages will be used to illustrate a range of abstractions and design choices.",,Standard Letter,Taught in English,INTRODUCTION TO PROGRAMMING LANGUAGES,COMP 222 AND COMP 215,,INTRO TO PROGRAMMING LANGUAGES
COMP 318,318,Lecture/Laboratory,,4,COMP,Computer Science,"Modern software systems are typically complex, event-driven, and require coordination across multiple components. Such systems require careful design to ensure that they uphold best practices in software design while supporting concurrency. This course will introduce principles of designing large-scale concurrent software and give students practice implementing these principles in the context of large-scale, highly concurrent software systems. Topics covered will include concurrency vs. parallelism, concurrency concepts and mechanisms, and principles of software design including encapsulation, composition, decoupling, and accessibility.  Mutually Exclusive: Cannot register for COMP 318 if student has credit for COMP 310.",,Standard Letter,Taught in English,CONCURRENT PROGRAM DESIGN,COMP 215,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,CONCURRENT PROGRAM DESIGN
COMP 321,321,Lecture/Laboratory,,4,COMP,Computer Science,"This course introduces computer systems from the programmer's perspective. Topics include data representation, the compilation process, and system-level programming concepts such as interrupts and concurrency. Formerly COMP 221.  Mutually Exclusive: Cannot register for COMP 321 if student has credit for COMP 221.",,Standard Letter,Taught in English,INTRODUCTION TO COMPUTER SYSTEMS,COMP 215 AND COMP 222,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,INTRO TO COMPUTER SYSTEMS
COMP 322,322,Lecture/Laboratory,,4,COMP,Computer Science,"Fundamentals of parallel programming: abstract models of parallel computers, parallel algorithms and data structures, and common parallel programming patterns including task parallelism, undirected and directed synchronization, data parallelism, divide-and-conquer parallelism, and map-reduce. Laboratory assignments will explore these topics through the use of parallel extensions to the Java language. Cross-list: ELEC 323.",,Standard Letter,Taught in English,PRINCIPLES OF PARALLEL PROGRAMMING,COMP 215,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,FUNDAMENTALS OF PARALLEL PROG
COMP 326,326,Lecture/Laboratory,,3,COMP,Computer Science,"Study of gates, flip-flops, combinational and sequential switching circuits, registers, logical and arithmetic operations, introduction to the Verilog hardware description language. Cross-list: ELEC 326.",,Standard Letter,Taught in English,DIGITAL LOGIC DESIGN,ELEC 220 OR COMP 222,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,DIGITAL LOGIC DESIGN
COMP 327,327,Lecture,,3,COMP,Computer Science,"This elective course covers a wide variety of topics in computer security, including hands-on experience with breaking software and engineering software to be harder to break. For example, students will perform buffer overflow attacks and exploit web application vulnerabilities, while also learning how to defend against them. Grades will be based on a series of in-class projects. Graduate/Undergraduate Equivalency: COMP 427, COMP 541. Mutually Exclusive: Cannot register for COMP 327 if student has credit for COMP 427/COMP 541.",,Standard Letter,Taught in English,INTRODUCTION TO COMPUTER SECURITY,COMP 310 OR COMP 314 OR ELEC 322,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,INTRO TO COMPUTER SECURITY
COMP 330,330,Lecture,,3,COMP,Computer Science,"This course is an introduction to modern data science. Data science is the study of how to extract actionable, non-trivial knowledge from data. The proposed course will focus both on the software tools used by practitioners of modern data science, as well as the mathematical and statistical models that are employed in conjunction with such software tools. On the tools side, we will cover the basics of relational database systems, as well as modern systems for distributed computing based on MapReduce. On the models side, the course will cover standard supervised and unsupervised models for data analysis and pattern discovery.
Can be taken concurrently with COMP 215. Graduate/Undergraduate Equivalency: COMP 543. Mutually Exclusive: Cannot register for COMP 330 if student has credit for COMP 543/DSCI 302.",,Standard Letter,Taught in English,TOOLS AND MODELS FOR DATA SCIENCE,(MATH 211 OR MATH 212 OR MATH 221 OR MATH 222 OR MATH 232) AND COMP 215,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,TOOLS & MODELS - DATA SCIENCE
COMP 340,340,Lecture/Laboratory,,4,COMP,Computer Science,"The course is an intermediate level course in data science for students at the sophomore level with some experience in programming and background in mathematics (calculus). The course teaches students to “do” data science in Python using six modules to illustrate fundamental data science operations, data cleaning, model exploration, model formulation, model visualization, model communication.  Recommended Prerequisite(s): COMP 182.",,Standard Letter,Taught in English,STATISTICAL MODELS AND ALGORITHMS FOR DATA SCIENCE,COMP 140 AND (MATH 212 OR MATH 222 OR MATH 232),Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,STATISTICAL MODELS FOR DS
COMP 341,341,Lecture,,3,COMP,Computer Science,"This course teaches practical skills for using machine learning models. Students will
learn how to apply ML algorithms to real world problems from data collection to the final
step of reporting findings. Topics covered include: data augmentation, bias detection,
feature engineering, efficient tuning and training, model interpretation, and data
storytelling.  Recommended Prerequisite(s): MATH 355/354/CAAM 335/CMOR 302, STAT 310/315/DSCI 301",,Standard Letter,Taught in English,PRACTICAL MACHINE LEARNING FOR REAL WORLD APPLICATIONS,COMP 182 AND (MATH 102 OR MATH 106),Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,PRACTICAL MACHINE LEARNING
COMP 361,361,Lecture,,4,COMP,Computer Science,"Exploration of curves and surfaces (e.g. parametric form, implicit form, and conversion between forms), the representation of solid (e.g., wireframes, octrees, boundary representations, and constructive solid geometry), and applications (e.g., graphics, motion planning, simulation, and finite element mesh generation. Graduate/Undergraduate Equivalency: COMP 561. Repeatable for Credit.",,Standard Letter,Taught in English,GEOMETRIC MODELING,(MATH 101 OR MATH 105) AND (MATH 102 OR MATH 106) AND COMP 182 AND COMP 215,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,GEOMETRIC MODELING
COMP 380,380,Lecture/Laboratory,,3,COMP,Computer Science,"We introduce algorithms, algorithmic techniques, and some discrete math with a decidedly practical bent. This will improve anyone’s programming skills, but with specific application towards programming contests and programming-oriented job interviews. This also provides optional additional preparation for COMP 382. Features both individual and small-group exercises in a hands-on class.",,Standard Letter,Taught in English,PRACTICAL PROBLEM-SOLVING,COMP 182,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,PRACTICAL PROBLEM-SOLVING
COMP 382,382,Lecture/Laboratory,,4,COMP,Computer Science,"Writing algorithms is fun, but how are you sure that the algorithm you wrote is flawless? Are there computing tasks for which it is impossible to produce an efficient algorithm, or, for that matter, any algorithm? To answer these questions, you have to learn to perform mathematical reasoning about algorithmic problems and solutions COMP 382 is an introduction to such reasoning techniques. Topics covered would include elementary logic, analysis of the correctness and efficiency of algorithms, and formal computational models like finite automata and Turning machines. On the way, you are also going to learn some new algorithm design techniques.",,Standard Letter,Taught in English,REASONING ABOUT ALGORITHMS,COMP 182 AND COMP 215 AND (ELEC 303 OR STAT 310 OR ECON 307 OR STAT 311 OR STAT 312 OR STAT 315 OR DSCI 301),Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,REASONING ABOUT ALGORITHMS
COMP 390,390,Research,,1 TO 3,COMP,Computer Science,Theoretical and experimental investigations under staff direction. Instructor Permission Required. Repeatable for Credit.,,Standard Letter,Taught in English,COMPUTER SCIENCE PROJECTS,,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,COMPUTER SCIENCE PROJECTS
COMP 402,402,Lecture,,4,COMP,Computer Science,"This course focuses on the principles and practices of test-driven software development, which have been popularized under the banner of ""Extreme Programming."" To provide students with practical experience, the course engages students in the development of open source production programs written in JAVA or C#. The DRJAVA programming courses was developed by students in this course.  Some of the major topics covered in course lectures include design patterns for controlling concurrency and refactoring transformations to improve legacy code. Graduate/Undergraduate Equivalency: COMP 501. Mutually Exclusive: Cannot register for COMP 402 if student has credit for COMP 501.",,Standard Letter,Taught in English,PRODUCTION PROGRAMMING,COMP 310 OR COMP 311 OR COMP 318,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,PRODUCTION PROGRAMMING
COMP 403,403,Lecture,,3,COMP,Computer Science,"Our reliance on software of all forms is increasing by the day. As a result, it is more important than ever to ensure that programs function correctly and cannot be exploited by hostile adversaries. The field of formal methods takes on this challenge, developing algorithms and programming methodologies that can be used to formally reason about what happens when software executes on arbitrary inputs, often without actually executing the program. Such reasoning can be used, for example, to identify subtle bugs and vulnerabilities in programs, or to give mathematical proofs of program correctness. This is a hands-on introduction to the field of formal methods. In this class, you will learn the theoretical foundations of these systems; you will also implement a series of systems that can be used to reason about the correctness of C programs. Graduate/Undergraduate Equivalency: COMP 503. Mutually Exclusive: Cannot register for COMP 403 if student has credit for COMP 503.",,Standard Letter,Taught in English,REASONING AND SOFTWARE,(COMP 382 AND COMP 215) OR COMP 482 OR COMP 409 OR COMP 509,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,REASONING ABOUT SOFTWARE
COMP 405,405,Lecture/Laboratory,,4,COMP,Computer Science,"A topics-driven exploration of cutting-edge object oriented design issues and concepts including mutable recursive data frameworks, design patterns for sorting, parsing and games, service-oriented architectures and cloud computing. Detailed knowledge and practice in abstract structure and behavioral representations, delegation model programming, design patterns and Java are required. Graduate/Undergraduate Equivalency: COMP 505. Mutually Exclusive: Cannot register for COMP 405 if student has credit for COMP 505.",,Standard Letter,Taught in English,ADVANCED TOPICS IN OBJECT-ORIENTED DESIGN,COMP 310,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,ADV TOP OBJECT/ORIENTED DESIGN
COMP 408,408,Lecture,,3,COMP,Computer Science,"The course will explore the mathematical underpinnings of reliable software. The students will learn how to use proof assistants to construct software along with a machine-checkable proof of its correctness. Basic concepts of logic, functional programming, static type systems and deductive verification will be covered. Graduate/Undergraduate Equivalency: COMP 548.",,Standard Letter,Taught in English,VERIFIED PROGRAMMING,,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,VERIFIED PROGRAMMING
COMP 409,409,Lecture,http://www.cs.rice.edu/~vardi/comp409/,3,COMP,Computer Science,"Logic has been called ""the calculus of computer science"". The argument is that logic plays a fundamental role in computer science, similar to that played by calculus in the physical sciences and traditional engineering disciplines. Indeed, logic plays an important role in areas of Computer Science as disparate as artificial intelligence (automated reasoning), architecture (logic gates), software engineering (specification and verification), programming languages (semantics, logic programming), databases (relational algebra and SQL), algorithms (complexity and expressiveness), and theory of computation (general notions of computability). Graduate/Undergraduate Equivalency: COMP 509. Mutually Exclusive: Cannot register for COMP 409 if student has credit for COMP 509.",,Standard Letter,Taught in English,LOGIC AND COMPUTER SCIENCE AND ARTIFICIAL INTELLIGENCE,COMP 182 AND COMP 215 AND (COMP 382 OR ELEC 303 OR STAT 310 OR ECON 307 OR STAT 311 OR STAT 312 OR STAT 315 OR DSCI 301 OR CMOR 302 OR CMOR 303 OR MATH 354 OR MATH 355),Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,LOGIC AND CS AND AI
COMP 410,410,Lecture,,4,COMP,Computer Science,"COMP 410 is a pure discovery-based learning course designed to give students real-life, hands-on training in a wide variety of software engineering issues that arise in creating large-scale, state-of-the-art software systems. The class forms a small software development ""company"" that works to deliver a product to a customer.  The topics encountered include and are not limited to, dealing with new technologies (e.g. C#, .NET, distributed computing), advanced object-oriented programming and design, interacting with customers, problem specification and tasking, individual and group communications, human resource management, group leadership, testing, integration and documentation.  Traditional development cycle methodologies will be compared to recent, ""agile"" techniques. Graduate/Undergraduate Equivalency: COMP 539.  Mutually Exclusive: Cannot register for COMP 410 if student has credit for COMP 539.",,Standard Letter,Taught in English,SOFTWARE ENGINEERING METHODOLOGY,COMP 310 OR COMP 318,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,SOFTWARE ENGINEER METHODOLOGY
COMP 411,411,Lecture,,4,COMP,Computer Science,"The design, definition and abstract implementation of programming languages including methods for precisely specifying syntax and semantics. Graduate/Undergraduate Equivalency: COMP 511. Mutually Exclusive: Cannot register for COMP 411 if student has credit for COMP 511.",,Standard Letter,Taught in English,PRINCIPLES OF PROGRAMMING LANGUAGES,COMP 311,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,PRINCIPLES OF PROG LANGUAGES
COMP 412,412,Lecture,http://www.clear.rice.edu/comp412,4,COMP,Computer Science,"Topics in the design of programming language translators, including parsing, run-time storage management, error recovery, code generation and optimization. Graduate/Undergraduate Equivalency: COMP 506. Recommended Prerequisite(s):  COMP 412 or COMP 506. Mutually Exclusive: Cannot register for COMP 412 if student has credit for COMP 506.",,Standard Letter,Taught in English,COMPILER CONSTRUCTION FOR UNDERGRADUATE STUDENTS,COMP 321,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,COMPILER CONSTRUCTION - UG
COMP 413,413,Lecture,,4,COMP,Computer Science,"This course focuses on modern principles for the construction of distributed programs, with an emphasis on design patterns, modern programming tools, and distributed object systems.  The material will be applied in a substantial software design/construction project.",,Standard Letter,Taught in English,DISTRIBUTED PROGRAM CONSTRUCTION,COMP 310 OR COMP 318,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,DISTRIB PROGRAM CONSTRUCTION
COMP 414,414,Lecture,,3,COMP,Computer Science,"The main focus of the course will be on smooth optimization techniques, with applications in machine learning and artificial intelligence. The course will introduce the basics of algorithms on continuous optimization, starting from the classical gradient descent algorithm in convex optimization, towards more sophisticated approaches in non-convex scenarios. The course will explore the fundamental theory, algorithms, complexity and approximations in nonlinear optimization. Graduate/Undergraduate Equivalency: COMP 514. Mutually Exclusive: Cannot register for COMP 414 if student has credit for COMP 514.",,Standard Letter,Taught in English,"OPTIMIZATION: ALGORITHMS, COMPLEXITY AND APPROXIMATIONS",(ELEC 303 OR STAT 310 OR ECON 307 OR STAT 312 OR STAT 315 OR DSCI 301 OR STAT 311) AND (CMOR 302 OR CMOR 303 OR MATH 354 OR MATH 355),Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,"ALGORITHMS, COMPLEX. & APPROX"
COMP 415,415,Lecture,,4,COMP,Computer Science,"Experience real customers, software, and situations.  The class will be contracted by an industrial customer to design build, and deliver a product. Negotiate to finalize specifications, updates, and delivery schedules Encounter real-life issues such as team management, intellectual property, and vagueness and specification changes while developing a state-of-the-art software application.",,Standard Letter,Taught in English,REAL-WORLD SOFTWARE DEVELOPMENT,COMP 410,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,REAL-WORLD SOFTWARE DEVELOPMNT
COMP 416,416,Lecture,,4,COMP,Computer Science,"Since the advent of Sanger Sequencing in 1977, computer scientists have devised algorithms and software tools to interpret and analyze DNA sequences. The field of bioinformatics focuses on computational approaches to solving biological questions. This course serves both as an introduction to widely used algorithms in bioinformatics and a software design course. The class involves a semester-long software design and implementation project, emphasizing design patterns and high-performance computing. No prior knowledge of biology is assumed nor required. Graduate/Undergraduate Equivalency: COMP 519. Mutually Exclusive: Cannot register for COMP 416 if student has credit for COMP 519.",,Standard Letter,Taught in English,GENOME-SCALE ALGORITHMS AND DATA STRUCTURES,COMP 382 AND (COMP 310 OR COMP 318),Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,GENOME-SCALE ALGORITHMS
COMP 417,417,Lecture,,3,COMP,Computer Science,"In this seminar, we will investigate advanced topics in the design and implementation of operating systems,
including: OS structure (includingWeb Browsers), concurrency and synchronization, memory management,
file systems and storage, virtual machines, and information protection. We will explore both fundamental
and hot topics through reading, discussing, and presenting key research findings. This course will also cover
methods for critiquing, writing, and presenting research findings through a course long project. Graduate/Undergraduate Equivalency: COMP 517. Mutually Exclusive: Cannot register for COMP 417 if student has credit for COMP 517.",,Standard Letter,Taught in English,ADVANCED OPERATING SYSTEMS AND SECURITY,COMP 421 OR ELEC 421,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,ADVANCED OPERATING SYSTEMS
COMP 418,418,Lecture,,4,COMP,Computer Science,"This course is an introduction to the Internet of Things (IoT). It will present the tools and techniques needed to develop complex IoT applications that encompass interaction with the physical world and data analysis across the IoT computing infrastructure. The topics range from programming microcontrollers (e.g., Arduino) and single-board computers (e.g., Raspberry Pi) to IoT automation and the efficient analysis of real-time IoT data. Graduate/Undergraduate Equivalency: COMP 518.",,Standard Letter,Taught in English,IOT PROGRAMMING AND DATA ANALYSIS,COMP 321,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,IOT PROGRAM. AND DATA ANALYSIS
COMP 420,420,Lecture/Laboratory,http://www.clear.rice.edu/comp420,4,COMP,Computer Science,"Introduction to distributed computer systems. The course covers concepts, architecture, algorithms, protocols, and implementation, focusing on distribution, scale, robustness in the face of failure, and security. Graduate/Undergraduate Equivalency: COMP 532. Mutually Exclusive: Cannot register for COMP 420 if student has credit for COMP 532.",,Standard Letter,Taught in English,INTRODUCTION TO DISTRIBUTED COMPUTER SYSTEMS,COMP 421 OR ELEC 421,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,INTRO TO DISTRIBUTED COMP SYS
COMP 421,421,Lecture/Laboratory,http://www.clear.rice.edu/comp421/,4,COMP,Computer Science,"Introduction to the design, construction, and analysis of concurrent programs with an emphasis on operating systems, including filing systems, schedulers, and memory allocators. Specific attention is devoted to process synchronization and communication within concurrent programs. Cross-list: ELEC 421, Graduate/Undergraduate Equivalency: COMP 521. Mutually Exclusive: Cannot register for COMP 421 if student has credit for COMP 521.",,Standard Letter,Taught in English,OPERATING SYSTEMS AND CONCURRENT PROGRAMMING,COMP 215 AND COMP 321,Must be enrolled in one of the following Level(s): Undergraduate ProfessionalVisiting UndergraduateUndergraduate,OP SYS/CONCURRENT PROGRAMMING
